,PC1,PC2
PN1.1,0.11363586929841621,-0.034143953743011136
PN1.2,0.1747169571384683,0.022568467539126735
PN1.3,0.26428729366534925,0.017831365011415464
PN1.4,0.9344011217383856,0.006211959740779415
PN1.6,-0.000534797861654396,0.02727843295911545
PN1.7,0.0006238350834608434,4.6286492755505883e-05
PN3.1,0.024626997837122425,-0.005791580986365735
PN3.2,0.03757533388824168,0.017257715257484582
PN3.3,0.0420796058188857,-0.022374202297132415
PN3.4,0.0664171885375309,-0.030801597826592374
PN3.5,-0.0002636209099890422,8.006579632911173e-05
PN3.6,-0.012223534513677591,-0.0228481322119664
PN3.7,-0.00039906264133639794,-0.00035655128704360767
PN3.8,0.0007316037075964603,-0.0003920499770042454
PN4.1,-0.051769811062152025,0.14274245908596278
PN4.2,-0.027518680762872994,0.06685541985547627
PN4.3,-0.0220369785834813,0.1398209618493443
PN4.4,-0.01716638311873594,0.04039257563985302
PN4.5,3.848515243890854e-05,-0.012049486446532198
PN4.6,0.0023064101599302063,0.011900214273269578
PN4.7,-0.0015979957434534672,0.003241726012227996
PN4.8,-0.0029240085727519666,-0.007627356320956554
PN5.1,-0.016553033011492142,-0.005162132843679009
PN5.2,0.0030478628095439186,0.07765659917621553
PN5.3,-0.014903356259082484,0.15047199989252777
PN5.4,0.012418516886219493,0.05633766027520471
PN5.7,-0.0006062965879975129,0.8972071531634348
PN5.8,0.019035259152277866,0.3341938365901496
