,PC1,PC2
PN1.1,-0.07308827584494652,0.20281048489418205
PN1.2,-0.11594608354451441,0.2694355335331732
PN1.3,-0.19530080476749698,0.5814773814488361
PN1.4,0.7613736716488366,-0.19616101798337135
PN1.6,-0.0058823277880123755,0.05064337459607952
PN1.7,-0.0004599802030128267,0.0011250322846931224
PN3.1,-0.034992068626814636,0.02286649310049966
PN3.2,-0.060866301155295566,0.051614664092406955
PN3.3,-0.07305359597351091,0.05524694560836732
PN3.4,-0.12354795949700818,0.031454023758924726
PN3.5,0.0003810693398900862,-0.0003352269396051835
PN3.6,-0.028799712803928543,0.033950647419051426
PN3.7,-4.933453985174368e-05,-0.0018751716455084398
PN3.8,-0.0010478956342485331,0.0005176882806949892
PN4.1,0.1345489895202036,0.023022555521381705
PN4.2,0.06270513018247831,0.00969527749373815
PN4.3,0.055824436839189105,-0.004722321557195742
PN4.4,0.04314944231952368,0.01050318171252406
PN4.5,-0.007366169963660943,0.002388706654136276
PN4.6,-0.01395747341432304,-0.0069561509927510016
PN4.7,0.005498949326747782,0.014619172449700736
PN4.8,-0.0019173515635139856,-0.00017881801888543965
PN5.1,0.04066583104110713,0.027828588973499054
PN5.2,0.08011852845923109,0.13847289101754623
PN5.3,0.0678965902007926,0.21886001516381193
PN5.4,0.04881817449034966,0.113451916452439
PN5.7,-0.46943152081848954,-0.26665350325106246
PN5.8,0.27250391313095446,0.5881134358871422
